CityTown,Location,County,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro(2)/Anti(1),EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,Source1,Source2,Source3,Misc.,Tear Gas,,,,,,,,,,
Norco,Neal Snipes Park,,CA,US,2020-07-01,21,21,,21,,,general protestors,antiracism; against police brutality,1,protest,0,0,0,0,1,1,https://www.pe.com/2020/07/01/black-lives-matter-protest-set-for-norco-amid-probe-into-clashes-at-similar-event-earlier-this-week/,https://www.sbsun.com/2020/07/01/black-lives-matter-protest-set-for-norco-amid-probe-into-clashes-at-similar-event-earlier-this-week/,,,,,,,,,,,,,
Portland,across from the Justice Center,,OR,US,2020-07-01,beyond 100,100,,100,,,general protestors,antiracism; against police brutality,1,protest,0,0,0,1,1,1,https://www.oregonlive.com/portland/2020/07/portland-protests-against-police-violence-racism-enter-5th-week.html,,,,,,,,,,,,,,
Provo,near Police Department,,UT,US,2020-07-01,about two-thirds of up to 300; about 200,200,,200,,,general protestors,antiracism; against police brutality,1,protest,0,0,0,0,1,1,"http://midutahradio.com/news/local-news/opposing-groups-protest-in-provo-following-shooting/#:~:text=Opposing%20groups%20protest%20in%20Provo%20following%20shooting.%20PROVO%2C,as%20the%20car%20began%20slowly%20accelerating%20through%20protesters.",https://www.heraldextra.com/news/local/central/provo/opposing-protests-rally-in-provo/collection_10a9aa97-4523-5af2-ae48-418b9b783e4c.html,https://www.deseret.com/utah/2020/7/1/21310724/protests-downtown-provo-face-off-race-equality-counter-protest-assault-rifles,,,,,,,,,,,,
Raleigh,outside Executive Mansion,,NC,US,2020-07-01,almost 80,80,,80,,,NC BORN,call for greater police transparency; defund the police,1,protest,11,0,0,0,1,1,https://www.cbs17.com/news/local-news/wake-county-news/protesters-rally-into-the-night-in-opposition-to-hb-168-outside-of-governors-mansion/,https://greensboro.com/news/state/the-day-after-11-were-arrested-protesters-continue-to-camp-outside-gov-coopers-mansion/article_c583655e-5d25-56b8-9431-c77f6032f6f8.html,,,,,,,,,,,,,
Roslyn,intersection at Roslyn and Harbor Hill roads in Roslyn Heights,,NY,US,2020-07-01,about 45,45,,45,,,general protesters,antiracism; against police brutality,1,protest,3,0,0,0,1,1,https://www.newsday.com/long-island/nassau/protesters-arrest-police-brutality-1.46379908,,,,0,,,,,,,,,,
Sacramento,Capitol,,CA,US,2020-07-01,,,,,,,general protesters,antiracism; against police brutality; honor victims of police brutality,1,rally,0,0,0,0,1,1,https://fox40.com/news/california-connection/families-of-those-killed-by-police-officers-rally-at-the-capitol-for-police-reform/,,,,,,,,,,,,,,
Seattle,"Broadway and East Pine; ""Capitol Hill Organized Protest"" zone (CHOP)",,WA,US,2020-07-01,,,,,,,general protesters,antiracism; anti-police brutality; Black Lives Matter,1,protest,44,0,0,0,1,1,https://www.cbs8.com/article/news/seattle-police-capitol-hill-chop-chaz/281-6253a20a-127b-4cd7-93dd-43f3f008afd0,https://spdblotter.seattle.gov/2020/07/01/mayor-durkan-issues-emergency-order-regarding-capitol-hill-protest-zone/,https://www.reuters.com/article/idUSKBN2425YW,https://mobile.reuters.com/news/picture/seattle-police-clear-out-chop-protest-zo-idUSRTS3H3IK,1,https://www.mercurynews.com/2020/07/01/police-clear-seattles-protest-zone-arrest-20/,https://www.kuow.org/stories/seattle-police-force-protesters-out-of-chop-make-arrests,,,,,,,,
Williamsburg,Williamsburg-James City County Courthouse,,VA,US,2020-07-01,more than 30,30,,30,,,general protesters,antiracism; against police brutality,1,protest,0,0,0,0,1,1,https://www.dailypress.com/virginiagazette/va-vg-courthouse-protest-0704-20200702-uhxoss5lrzdsdjuwn7gleea7s4-story.html,,,,,,,,,,,,,,
Aiken,Laurens St; The Alley,,SC,US,2020-07-01,,,,,,,BLM Aiken,antiracism; against police brutality,1,march,0,0,0,0,1,1,https://www.postandcourier.com/aikenstandard/news/aiken-black-lives-matter-group-to-host-downtown-march-thursday-look-to-continue-weekly-demonstration/article_aa220278-0e52-557f-bfbb-d451db872c45.html,,,,,,,,,,,,,,
Chicago,Saint Sabina Church,Cook,IL,US,2020-07-02,,,,,,,general protesters,antiracism; against police brutality,1,protest,,,,,1,1,https://saintsabina.org/events-at-saint-sabina/2020/black-lives-do-matter-call-to-justice-peace-and-no-killing-over-the-4th-of-july-weekend.html,,,,,,,,,,,,,,
Columbia,Richland Library on Assembly St; Police Department,,SC,US,2020-07-02,,,,,,,general protestors,against police shooting of black man; for firing of officer,1,protest,0,0,0,0,1,1,https://www.thestate.com/news/local/crime/article243925452.html,,,,,,,,,,,,,,
Des Moines,Police Department,,IA,US,2020-07-02,about 20,20,,20,,,general protestors,antiracism; solidarity with arrested protestor,1,protest,3,0,0,0,1,1,https://www.desmoinesregister.com/story/news/2020/07/02/arrests-black-lives-matter-protests-polk-county-courthouse-thursday/5365918002/,,,,,,,,,,,,,,
El Cerrito,El Cerrito Plaza BART,,CA,US,2020-07-02,,,,,,,general protestors,antiracism; against police brutality,1,caravan,,,,,1,1,https://sf.funcheap.com/justice-peace-caravan-support-black-lives-matter/,,,,,,,,,,,,,,
El Dorado,Confederate monument on the Union County Courthouse grounds,,KA,US,2020-07-02,20 or 30,20,,30,,,general protesters,"""to appeal for the monument’s relocation""",1,protest,0,0,0,0,1,1,https://www.eldoradonews.com/news/2020/jul/03/epd-breaks-downtown-demonstration/,,,,0,,,,,,,,,,
Eugene,outside Market of Choice,,OR,US,2020-07-02,about a dozen,12,,12,,,grocery workers,antiracism; protest ban on BLM masks at work,1,protest,,,,,1,1,https://www.kezi.com/content/news/Protesters-continue-beef-against-Market-of-Choice-571605291.html,,,,,,,,,,,,,,
Jacksonville,outside Sheriff's Office,,FL,US,2020-07-02,,,,,,,"""The Kemetic Empire""",against police brutality; greater police transparency,1,protest,0,0,0,0,1,1,https://www.news4jax.com/news/local/2020/07/02/human-rights-organization-holding-protest-outside-jso-headquarters/,,,Laid out body bags,,,,,,,,,,,
Lexington,Old Davidson County Courthouse,,NC,US,2020-07-02,,,,, ,,general protestors,antiracism; oppose Confederate monument,1,protest,0,0,0,0,1,1,https://www.the-dispatch.com/story/special/2020/07/02/supporters-of-confederate-statue-in-lexington-hold-demonstration/41717509/,,,,,,,,,,,,,,
Lyle,highway 14 at Fourth Street ,,WA,US,2020-07-02,about 30,30,,30,,,general protesters,BLM,0,protest,,,,,1,1,https://www.thedalleschronicle.com/free_news/blm-gathering-in-lyle-draws-counter-protest-roadside-debate/article_5d484c1e-c07a-11ea-9b03-eb806abfdc23.html,,,,,,,,,,,,,,
Lyle,Community Center,,OR,US,2020-07-02,,,,,,,general protestors,BLM; antiracism,1,rally,0,0,0,0,1,1,https://www.columbiagorgenews.com/gorge-life/black-lives-matter-rallies-planned/article_d5bbc1da-bbde-11ea-953b-afb87ae2677a.html,,,,,,,,,,,,,,
Nashville,Legislative Plaza,,TN,US,2020-07-02,,,,,,,general protestors,"against racism, for removal of police chief, for defunding police, for demilitarizing police, for removal of Confederate statues",1,occupation,0,0,0,0,1,1,https://www.nashvillescene.com/news/pith-in-the-wind/article/21143995/a-look-back-on-the-peoples-plaza-protest,,,,,,,,,,,,,,
New York,Manhattan; 50 Hudson Yards,New York,NY,US,2020-07-02,,,,,,,general protesters,antiracism; against police brutality,1,protest,,,,,1,1,justiceforgeorgenyc Instagram,,,,,,,,,,,,,,
New York,Manhattan; 633 3rd Ave,New York,NY,US,2020-07-02,,,,,,,general protesters,antiracism; against police brutality,1,protest,,,,,1,1,justiceforgeorgenyc Instagram,,,,,,,,,,,,,,
New York,Manhattan; Foley Sq,New York,NY,US,2020-07-02,,,,,,,general protesters,antiracism; against police brutality,1,protest,,,,,0,1,justiceforgeorgenyc Instagram,,,,,,,,,,,,,,
New York,Manhattan; Morris St and Broadway,New York,NY,US,2020-07-02,,,,,,,general protesters,antiracism; against police brutality,1,protest,,,,,0,1,justiceforgeorgenyc Instagram,,,,,,,,,,,,,,
New York,Manhattan; Marcus Garvey Park,New York,NY,US,2020-07-02,,,,,,,general protesters,antiracism; against police brutality,1,protest,,,,,0,1,justiceforgeorgenyc Instagram,,,,,,,,,,,,,,
New York,Manhattan; Carl Schurz Park,New York,NY,US,2020-07-02,,,,,,,general protesters,antiracism; against police brutality,1,vigil,,,,,0,1,justiceforgeorgenyc Instagram,,,,,,,,,,,,,,
New York,"Brooklyn; Long Meadow, Prospect Park",Kings,NY,US,2020-07-02,,,,,,,general protesters,antiracism; against police brutality,1,protest,,,,,0,1,justiceforgeorgenyc Instagram,,,,,,,,,,,,,,
New York,Brooklyn; 2146 Nostrand Ave,Kings,NY,US,2020-07-02,,,,,,,general protesters,antiracism; against police brutality,1,protest,,,,,0,1,justiceforgeorgenyc Instagram,,,,,,,,,,,,,,
New York,Brooklyn; Machate Circle,Kings,NY,US,2020-07-02,,,,,,,general protesters,antiracism; against police brutality,1,protest,,,,,0,1,justiceforgeorgenyc Instagram,,,,,,,,,,,,,,
New York,Brooklyn; Barclays Center,Kings,NY,US,2020-07-02,,,,,,,general protesters,antiracism; against police brutality,1,protest,,,,,0,1,justiceforgeorgenyc Instagram,,,,,,,,,,,,,,
New York,Brooklyn; Grand St and Kent Ave,Kings,NY,US,2020-07-02,,,,,,,general protesters,antiracism; against police brutality,1,protest,,,,,0,1,justiceforgeorgenyc Instagram,,,,,,,,,,,,,,
New York,Grand Army Plaza,Kings,NY,US,2020-07-02,,,,,,,general protesters,antiracism; against police brutality,1,vigil,,,,,0,1,justiceforgeorgenyc Instagram,,,,,,,,,,,,,,
New York,McCarren Park,Kings,NY,US,2020-07-02,,,,,,,general protesters,antiracism; against police brutality,1,vigil,,,,,0,1,justiceforgeorgenyc Instagram,,,,,,,,,,,,,,
New York,Monitor and Driggs,Kings,NY,US,2020-07-02,,,,,,,general protesters,antiracism; against police brutality,1,protest,,,,,0,1,justiceforgeorgenyc Instagram,,,,,,,,,,,,,,
New York,Queens; 74th St and Roosevelt,Queens,NY,US,2020-07-02,,,,,,,general protesters,antiracism; against police brutality,1,protest,,,,,0,1,justiceforgeorgenyc Instagram,,,,,,,,,,,,,,
New York,Queens; Junction Blvd and Roosevelt,Queens,NY,US,2020-07-02,,,,,,,general protesters,antiracism; against police brutality,1,protest,,,,,0,1,justiceforgeorgenyc Instagram,,,,,,,,,,,,,,
Oklahoma City,,,OK,US,2020-07-02,,,,,,,general protestors,antiracism; against police brutality,1,protest,,,,,1,1,https://oklahoman.com/article/5665859/protest-over-criminal-charges-planned,,,,,,,,,,,,,,
Raleigh,Capital Boulevard,,NC,US,2020-07-02,,,,,,,NCBORN,antiracism; against police brutality,1,protest,20,0,0,0,1,1,https://www.cbs17.com/news/local-news/wake-county-news/several-protesters-arrested-during-demonstration-on-capital-blvd/,,,,,,,,,,,,,,
San Diego,,,CA,US,2020-07-02,,,,,,,local students,antiracism; defund the police,1,protest,0,0,0,0,1,1,https://www.cbs8.com/article/news/local/march-to-try-and-defund-sd-unified-police/509-ac58bdf3-10b2-4dee-98e9-a72aaef3237b,,,,,,,,,,,,,,
San Jose,City Hall,,CA,US,2020-07-02,,,,,,,general protestors,antiracism; defund the police,1,protest,,,,,1,1,https://www.instagram.com/p/CCAjTZxhFUz/,,,,,,,,,,,,,,
Tampa,University of South Florida’s Lifsey House,,FL,US,2020-07-02,,,,,,,Tampa Bay’s Students for a Democratic Society,increased Black student enrollment,0,protest,,,,,1,1,https://www.cltampa.com/news-views/local-news/article/21138884/usf-students-will-protest-declining-black-enrollment-again,,,,,,,,,,,,,,
Tampa,Davis Islands,,FL,US,2020-07-02,,,,,,,general protestors,antiracism; against police brutality,1,protest,0,0,0,0,1,1,https://www.cltampa.com/news-views/local-news/article/21139009/families-supporting-black-lives-matter-will-march-through-tampas-davis-islands,,,,,,,,,,,,,,
Waterbury,City Hall,,CT,US,2020-07-02,,,,,,,Council of American Islamic Relations,"antiracism; against police brutality; against colonization, Columbus statue",1,protest,0,0,0,0,1,1,https://www.wtnh.com/news/connecticut/new-haven/george-floyd-memorial-rally-to-be-held-in-waterbury-today/,,,,,,,,,,,,,,
Windsor,,,NH,US,2020-07-02,,7,,7,,,general protesters,against Windsor High School principal who was placed on paid leave after Facebook post questioning methods of Black Lives Matter; supporting Black Lives Matter,0,rally,,,,,0,1,https://vtdigger.org/2020/07/03/lawsuit-and-protest-after-windsor-principal-ousted-over-black-lives-matter-post/?is_wppwa=true&wpappninja_cache=friendly,,,,,,,,,,,,,,
Alameda,Police Station,,CA,US,2020-07-03,,,,,,,general protestors,antiracism; against police brutality,1,die-in,,,,,1,1,https://www.instagram.com/p/CCDBWqThMYI/,,,,,,,,,,,,,,
Aurora,Aurora Police Department District 1 Police Station,,CO,US,2020-07-03,hundreds,200,,200,,,general protesters,"""to demand that three officers involved in the in-custody death of Elijah McClain be fired by the Aurora Police Department""",1,protest,2,0,0,0,1,1,https://www.kgun9.com/news/america-in-crisis/protesters-to-rally-again-in-colorado-to-call-for-justice-for-elijah-mcclain-on-friday,https://www.denverpost.com/2020/07/04/demonstrators-charged-aurora-elijah-mcclain-protest/,https://denver.cbslocal.com/2020/07/04/protests-aurora-tense-police/,https://denverite.com/2020/07/03/in-aurora-demonstrators-continue-their-push-for-fundamental-police-reforms/,0,https://sentinelcolorado.com/0trending/elijah-mcclain-protesters-entrench-at-aurora-police-station-friday-night/,,,,,,,,,
Cedar Rapids,,,IA,US,2020-07-03,,,,,,,general protestors,antiracism; Black liberation,1,protest,,,,,1,1,https://www.thegazette.com/subject/news/government/cedar-rapids-protesters-plan-black-freedom-rally-friday-afternoon-20200702,,,,,,,,,,,,,,
Chicago,"Federal Center and Plaza, 219 S Dearborn St",Cook,IL,US,2020-07-03,,,,,,,general protesters,antiracism; against police brutality,1,protest,,,,,1,1,https://www.facebook.com/events/684046662418637/,,,,,,,,,,,,,,
Chicago,Logan Square,Cook,IL,US,2020-07-03,,,,,,,general protesters,antiracism; against police brutality,1,protest,,,,,1,1,https://www.facebook.com/events/482774105903726,,,,,,,,,,,,,,
Chicago,"""near the Illinois National Guard’s Northwest Armory, 1551 N. Kedzie Ave.""",,IL,US,2020-07-03,some 50 people,50,,50,,,general protesters,"demand justice for Vanessa Guillen; ""CHI4Vanessa Rally""",1,protest; rally,0,0,0,0,1,1,https://chicago.suntimes.com/2020/7/3/21312985/veterans-rally-support-vanessa-guillen-condemn-sexual-abuse-military,,,,0,,,,,,,,,,
Dover,Crescent Field,,NJ,US,2020-07-03,,,,,,,BLM Morristown; Wind of the Spirit,antiracism; against police brutality,1,protest,,,,,1,1,https://www.dailyrecord.com/story/news/local/morris-county/2020/07/02/im-afraid-black-lives-dont-matter-morris-county-rally-planned-friday/5363413002/,,,,,,,,,,,,,,
Hood River,Lawn outside library,,OR,US,2020-07-03,,,,,,,general protesters,BLM; antiracism,1,rally,0,0,0,0,1,1,https://www.columbiagorgenews.com/gorge-life/black-lives-matter-rallies-planned/article_d5bbc1da-bbde-11ea-953b-afb87ae2677a.html,,,,,,,,,,,,,,
Houghton,Portage Lake Bridge,,MI,US,2020-07-03,about 10,10,,10,,,general protesters,antiracism; against police brutality,1,protest,,,,,1,1,https://www.mininggazette.com/news/local-news/2020/07/blm-protesters-march-despite-heat/,,,,,,,,,,,,,,
Jefferson,,Jefferson,WI,US,2020-07-03,,35,,35,,,general protesters,support for Black Lives Matter movement,1,march,,,,,1,1,https://www.hngnews.com/lake_mills_leader/image_c2e7e5fe-5f23-544b-b916-cedf3bba5539.html,,,"this group was marching from Waukega to Madison, WI, over several days and passed through Jefferson on this day",,,,,,,,,,,
Joilet,outside Joilet Police Department,,IL,US,2020-07-03,dozens,24,,24,,,general protesters,"""to protest the death of a man who overdosed in the back of a squad car in January""",1,protest,0,0,0,0,1,1,https://www.theherald-news.com/lists/2020/07/03/c20cdefeda5242d795659fc8fc28cd48/index.xml?page=7,,,,0,,,,,,,,,,
Keystone,road leading up to Mount Rushmore,,SD,US,2020-07-03,,,,,,,group of mainly Native American protesters,"#Landback; “Protect SoDak’s First People,” “You Are On Stolen Land,” “Dismantle White Supremacy,”",1,protest,many,0,0,0,1,1,https://tuluwatexaminer.wordpress.com/2020/07/04/bloody-hands-on-stolen-lands-racist-covidiot-trumps-rally-for-hate/,https://www.palmbeachpost.com/zz/news/20200704/we-refuse-to-celebrate-july-4th-protesters-say-not-all-americans-are-free,,protesters were sprayed with pepper spray,0,,,,,,,,,,
Long Beach,Houghton Park Community Center,,CA,US,2020-07-03,more than 100,101,,101,,,Cutthroat LA,"against police brutality, against racial discrimination",1,march,,,,,1,1,https://www.presstelegram.com/2020/07/03/100-demonstrators-gather-for-peach-march-from-downtown-to-north-long-beach/,,,,,,,,,,,,,,
Los Altos,Lincoln Park,,CA,US,2020-07-03,,,,,,,Tha Hood Squad,antiracism; against police brutality,1,protest art,,,,,1,1,https://www.instagram.com/p/CCIZQ_phUNH/,,,,,,,,,,,,,,
Nashville,Legislative Plaza,,TN,US,2020-07-03,,,,,,,general protestors,"against racism, for removal of police chief, for defunding police, for demilitarizing police, for removal of Confederate statues",1,occupation,0,0,0,0,0,1,https://www.nashvillescene.com/news/pith-in-the-wind/article/21143995/a-look-back-on-the-peoples-plaza-protest,,,,,,,,,,,,,,
New York,Queens; Flushing Library,Queens,NY,US,2020-07-03,,,,,,,general protesters,antiracism; against police brutality,1,protest,,,,,1,1,justiceforgeorgenyc Instagram,,,,,,,,,,,,,,
New York,Manhattan; 123 W 43rd St,New York,NY,US,2020-07-03,,,,,,,general protesters,antiracism; against police brutality,1,protest,,,,,0,1,justiceforgeorgenyc Instagram,,,,,,,,,,,,,,
New York,Manhattan; J Hood Wright Park,New York,NY,US,2020-07-03,,,,,,,general protesters,antiracism; against police brutality,1,protest,,,,,0,1,justiceforgeorgenyc Instagram,,,,,,,,,,,,,,
New York,Manhattan; 110th St and 5th Ave,New York,NY,US,2020-07-03,,,,,,,general protesters,antiracism; against police brutality,1,protest,,,,,0,1,justiceforgeorgenyc Instagram,,,,,,,,,,,,,,
New York,Manhattan; 42nd and 5th,New York,NY,US,2020-07-03,,,,,,,general protesters,antiracism; against police brutality,1,protest,,,,,0,1,justiceforgeorgenyc Instagram,,,,,,,,,,,,,,
New York,Manhattan; 125th and ACP Blvd,New York,NY,US,2020-07-03,,,,,,,general protesters,antiracism; against police brutality,1,protest,,,,,0,1,justiceforgeorgenyc Instagram,,,,,,,,,,,,,,
New York,Manhattan; Columbus Circle,New York,NY,US,2020-07-03,,,,,,,general protesters,antiracism; against police brutality,1,protest,,,,,0,1,justiceforgeorgenyc Instagram,,,,,,,,,,,,,,
New York,Manhattan; Washington Sq,New York,NY,US,2020-07-03,,,,,,,general protesters,antiracism; against police brutality,1,protest,,,,,0,1,justiceforgeorgenyc Instagram,,,,,,,,,,,,,,
New York,Manhattan; Foley Sq,New York,NY,US,2020-07-03,,,,,,,general protesters,antiracism; against police brutality,1,protest,,,,,0,1,justiceforgeorgenyc Instagram,,,,,,,,,,,,,,
New York,Manhattan; 110th St and 5th Ave,New York,NY,US,2020-07-03,,,,,,,general protesters,antiracism; against police brutality,1,protest,,,,,0,1,justiceforgeorgenyc Instagram,,,,,,,,,,,,,,
New York,Manhattan; Madison Sq Park,New York,NY,US,2020-07-03,,,,,,,general protesters,antiracism; against police brutality,1,protest,,,,,0,1,justiceforgeorgenyc Instagram,,,,,,,,,,,,,,
New York,"Manhattan; People's Library, City Hall",New York,NY,US,2020-07-03,,,,,,,general protesters,antiracism; against police brutality,1,protest,,,,,0,1,justiceforgeorgenyc Instagram,,,,,,,,,,,,,,
New York,Manhattan; Washington Sq,New York,NY,US,2020-07-03,,,,,,,general protesters,antiracism; against police brutality,1,protest,,,,,0,1,justiceforgeorgenyc Instagram,,,,,,,,,,,,,,
Oakland,Rockridge BART to Bobby Hutton Park,,CA,US,2020-07-03,,,,,,,general protestors,antiracism; against police brutality,1,skating protest,,,,,1,1,https://www.instagram.com/p/CCApDXQhUF8/,,,,,,,,,,,,,,
Palo Alto,Johnson Park,,CA,US,2020-07-03,,,,,,,Raging Grannies,antiracism; commemorate Black lives lost,1,protest,,,,,1,1,https://www.instagram.com/p/CCDAf23B5uy/,,,,,,,,,,,,,,
Payson,Corners of highways 87 and 260,,AZ,US,2020-07-03,39,39,,39,,,Democrats of Rim Country,Equality and justice for marginalized groups,0,rally,0,0,0,0,1,1,https://www.paysonroundup.com/news/local/payson-rally-for-equality-and-justice-held-july-3/article_b99f4d6e-04d4-5207-a895-24eb95251958.html,,,,,,,,,,,,,,
Pittsburgh,Freedom Corner,,PA,US,2020-07-03,about 100,100,,100,,,Project Matters,"against racism, against police violence, for LGBTQ rights",1,march,1,0,0,0,1,1,https://www.pghcitypaper.com/pittsburgh/one-arrested-during-blm-protest-in-pittsburgh-after-marchers-met-by-police-in-riot-gear/Content?oid=17586228,,,police wore riot gear,0,,,,,,,,,,
Richmond,West Broad Street; Capitol; Monument Avenue,,VA,US,2020-07-03,hundreds,100,,100,,,general protesters,Black Lives Matter; antiracism; against police brutality; Justice for George Floyd,1,march; protest,0,0,0,0,1,1,https://richmond.com/news/local/you-need-to-see-us-you-need-to-protect-us-hundreds-march-in-richmond-to/article_1048a239-720c-5ccf-a888-2101f8290e54.html,,,,0,,,,,,,,,,
